category,filename,text
hiragana,a,あ
hiragana,i,い
hiragana,u,う
hiragana,e,え
hiragana,o,お
hiragana,ka,か
hiragana,ki,き
hiragana,ku,く
hiragana,ke,け
hiragana,ko,こ
hiragana,sa,さ
hiragana,shi,し
hiragana,su,す
hiragana,se,せ
hiragana,so,そ

hiragana,ta,た
hiragana,chi,ち
hiragana,tsu,つ
hiragana,te,て
hiragana,to,と

hiragana,na,な
hiragana,ni,に
hiragana,nu,ぬ
hiragana,ne,ね
hiragana,no,の

hiragana,ha,は
hiragana,hi,ひ
hiragana,fu,ふ
hiragana,he,へ
hiragana,ho,ほ

hiragana,ma,ま
hiragana,mi,み
hiragana,mu,む
hiragana,me,め
hiragana,mo,も

hiragana,ya,や
hiragana,yu,ゆ
hiragana,yo,よ

hiragana,ra,ら
hiragana,ri,り
hiragana,ru,る
hiragana,re,れ
hiragana,ro,ろ

hiragana,wa,わ
hiragana,wo,を
hiragana,n,ん

hiragana,ga,が
hiragana,gi,ぎ
hiragana,gu,ぐ
hiragana,ge,げ
hiragana,go,ご

hiragana,za,ざ
hiragana,ji,じ
hiragana,zu,ず
hiragana,ze,ぜ
hiragana,zo,ぞ

hiragana,da,だ
hiragana,di,ぢ
hiragana,du,づ
hiragana,de,で
hiragana,do,ど

hiragana,ba,ば
hiragana,bi,び
hiragana,bu,ぶ
hiragana,be,べ
hiragana,bo,ぼ

hiragana,pa,ぱ
hiragana,pi,ぴ
hiragana,pu,ぷ
hiragana,pe,ぺ
hiragana,po,ぽ

hiragana,kya,きゃ
hiragana,kyu,きゅ
hiragana,kyo,きょ

hiragana,gya,ぎゃ
hiragana,gyu,ぎゅ
hiragana,gyo,ぎょ

hiragana,sha,しゃ
hiragana,shu,しゅ
hiragana,sho,しょ

hiragana,ja,じゃ
hiragana,ju,じゅ
hiragana,jo,じょ

hiragana,cha,ちゃ
hiragana,chu,ちゅ
hiragana,cho,ちょ

hiragana,nya,にゃ
hiragana,nyu,にゅ
hiragana,nyo,にょ

hiragana,hya,ひゃ
hiragana,hyu,ひゅ
hiragana,hyo,ひょ

hiragana,mya,みゃ
hiragana,myu,みゅ
hiragana,myo,みょ

hiragana,rya,りゃ
hiragana,ryu,りゅ
hiragana,ryo,りょ

hiragana,bya,びゃ
hiragana,byu,びゅ
hiragana,byo,びょ

hiragana,pya,ぴゃ
hiragana,pyu,ぴゅ
hiragana,pyo,ぴょ
